,User,Tweet,Tweet_id,Created_At
0,REN14280,"☎️ Ainie Daud 018-2510064
https://t.co/KCcLtkUhdh

#houseforrent #apartmentforrent  #houseforsale #rumahuntukdijual #wanttorenthouse #rumahsewa #rumahuntukdisewa #wanttosellhouse #wanttobuyhouse #realestatenegotiator #ainiedaudproperty #npr https://t.co/PNKsI2RQ4i",1591595740589338624,2022-11-13 00:56:09+00:00
1,champagneteam,"We Can Help You Too!

https://t.co/h2POHHOCQ4

#realtor #work #houseforsale #sell #buyingcontent #remax #Offers #southmilwaukee #callnow #selling #TheChampagneTeam #homesforsale #forsale #bestagentsaround #twitter https://t.co/3tmzZb59tl",1591587782518095877,2022-11-13 00:24:32+00:00
2,JeffBirchmore,"🚨 New Listing 🚨 This 🌶️ new property just hit the market. 👀 Reach out here or call (613) 620-2400 for more information!! 🏡

#ottawarealestate #ottawarealtor #ottawa #nepean #kanata #barrhaven #houseforsale #condoforsale https://t.co/ugyJysFj9s https://t.co/FVPmj2TCjL",1591578185371729922,2022-11-12 23:46:24+00:00
3,elyseArt17,"Take a tour of this beautiful 1 story house located in N. Las Vegas.
3bed 2bath with a den 1,800 sq ft
Stainless steel appliances, a fun backyard and overhead garage storage. 
Interested? GLVAR MLS 2451632

https://t.co/5a3RNDnbdO

#houseforsale #newhome #lasvegas #buyme https://t.co/x17X8k7Ipz",1591556539307159553,2022-11-12 22:20:23+00:00
4,ExpCalifornia,"https://t.co/9HSzhDF5F6
  #realestate #homebuying #homesales #concordhomes #realestateagent #martinezhomes #pleasanthillhomes #wallnutcreekhomes #homesfinancing #homepurchase #pittsburghomes #sanramonehomes #eastbayhomes #homeforsale #houseforsale",1591551542536318976,2022-11-12 22:00:31+00:00
5,garylimjap,This beautiful 3 BD + 2 BA Westchester #houseforsale has a private backyard oasis &amp; brick patio - the perfect place to entertain guests. #openhouse this Sunday (Nov. 13th) from 1–4 PM at 8109 Regis Way. Watch the video; https://t.co/y0DJoyNNXV https://t.co/Ljh363Lbm9,1591534929766383616,2022-11-12 20:54:31+00:00
6,htrealestate,"🗓 OPEN HOUSE: Tomorrow, Sunday, November 13th, 2-4pm 🗓

Visit for more info: https://t.co/UUnmfGzSvI

#helentangrealestateteam #justlisted #newlisting #newlistingalert #realestate #realestateagent #kwrealtor #ottawarealestate #houseforsale #homeforsale #kanata https://t.co/LS2vusVDKj",1591525408402714627,2022-11-12 20:16:41+00:00
7,MiER_impro,al klikkend kwam ik op npostart #houseforsale tegen. Wat een gaaf programma. Ik kijk mijn ogen uit.,1591525303196995584,2022-11-12 20:16:16+00:00
8,cadenasrealty,"🚨 OPEN HOUSE 🚨
28440 SW 130th Ave Homestead FL 33033

Saturday, November 12th 📆
⏰ From 1:00 p.m. to 4:00 p.m. 

➡️ 4 Bedrooms
➡️ 2 Bathrooms
➡️ 1,599 Sqft
 💲 510,000
➡️ No HOA, No CDD

#marloncadenas #house #houseforsale #miamibeach #miami #forsale #realestate https://t.co/ZflVsDkeka",1591521383993180162,2022-11-12 20:00:41+00:00
9,AnnieBalanos,"Rumor has it that Porto Fino Express is one of the best Pizza restaurants in town. Do you agree?

Annie Balanos
Team 3000 Realty
778.714.2195
annieb@team3000realty.ca
https://t.co/ptu3tLzCY9
#soldbyannievancouver #houseforsale... https://t.co/e9wZD9JSpJ https://t.co/2aUXY3AVgX",1591507889167794177,2022-11-12 19:07:04+00:00
